Assigned,Database,Citation,Year,Article_Type,Terminology_Type,Abstract, QuantCrit/Critical Quant, Analysis_Notes,Positionality,Critical_paradigm,Additional_Notes,Higher Ed/QuantCrit/CriticalQuant,Journal
Patricia,Education Source,"Reno, R., Barnhart, S., & Gabbe, P. T. (2018). A critical inquiry of breastfeeding attitudes, barriers, and experiences of African American women living in poverty. Journal of Poverty, 22(6), 518-536.",2018,Empirical Study,Critical Quant,"Low-income African American women have disproportionately
low rates of breastfeeding, which is indicative of individual, social,
and structural barriers to breastfeeding. The WIC Infant Feeding
Practices Scale was administered to 32 low-income, African
American women. Participants reported favorable attitudes
toward breastfeeding and identified with breastfeeding benefits,
however not with breastfeeding barriers. Participants also completed
a postpartum breastfeeding experiences survey that
showed low levels of engagement with lactation professionals.
Using critical feminist theory and quantitative criticalist approach
to interpret these findings, this study highlights the need for
more culturally responsive research and interventions.",#NAME?,#NAME?,#NAME?,"- suggests future direction for research in this area; addresses gaps
- calls for medical practicioners to better support African American women",,,Journal of Poverty
Krystle,Web of Science,"Carter, Allison, Saara Greene, Deborah Money, Margarite Sanchez, Kath Webster, Valerie Nicholson, Lori A. Brotto et al. ""The importance of sex in the lives of women living with HIV: A critical quantitative analysis."" International Journal of Sexual Health 30, no. 1 (2018): 92-110.",2018,Empirical Study,Critical Quant,"The authors explored the importance of sex for 1,289 women living with HIV in Canada.
Approximately half of women viewed sex as “very” (19.6%) or “somewhat” important (32.3%) and
the remaining reported “neither important or unimportant” (22.0%), “somewhat unimportant”
(5.4%), or “not at all important” (20.1%). Women who had a regular sex partner, identified as African,
Caribbean, or Black, were more educated, believed HIV treatment prevents transmission, or had
better physical health-related quality-of-life reported greater importance of sex, whereas those who
were older, used illicit drugs, or experienced violence in adulthood reported lesser importance.
Findings underscore the diversity of women’s perspectives within the context of their lives.",Study idea came from participants-- also authors say study is grounded in feminist values so their interpretation is intentionally not meant to be prescriptive. However there is no explicit mention of Critical quant in the lit review or framing of paper aside from the title,"baseline questionnaire data from the Canadian
HIV Women’s Sexual and Reproductive Health
Cohort Study (CHIWOS). Briefly, between
August 2013 and May 2015, a total of 1,424 self-identified
women living with HIV (trans inclusive) aged
16 years were recruited into CHIWOS. Sexism/genderism (score range D 8–48, Cronbach
a D .94) and racism (score range D 8–48, Cronbach
a D .95) were both assessed by the Everyday Discrimination
Scale, which measures on 6-point scale how
often sexist or racist events occur because of their gender
or race (e.g., “you are treated with less courtesy,”
“you receive poorer service;” Williams, Yan, Jackson,
& Anderson, 1997).",A little mention in discussion/conclusion about authors grounding in feminist values,"Feminist lens, sex-positive lens, and work came from community.",NOT REALLY QUANT CRIT,,International Journal of Sexual Health
,Proquest,"Young, J. L., Foster, M. D., & Druery, D. M. (2018). A Critical Exploratory Analysis of Black Girls' Achievement in 8th Grade U.S. History. Middle Grades Review, 4(3), 1-16. https://www.proquest.com/scholarly-journals/critical-exploratory-analysis-black-girls/docview/2228630393/se-2?accountid=14512",2018,Empirical Study,Other,"The purpose of this study was to utilize an ethnically homogeneous design to examine Black female
student U.S. History content-specific knowledge. The study aims to elucidate the importance of singlegroup analyses as an alternative to between-group comparative designs. The present study utilized a
critical, quantitative, descriptive research design to examine the achievement of Black girls in U.S. History
from a strength-based and growth-focused perspective. The study contributes to the literature on Black
girls’ achievement by applying a quantitative approach to intersectional research. This study utilized two
subsamples of Black 8th grade girls from the 2006 and 2010 National Assessment of Educational Progress
(N = 4,490). Mean differences in Black girls’ specialized U.S. History content knowledge were assessed
using both descriptive statistics and an analysis of variance (ANOVA). The results indicate statistically
significant growth overall, and on the democracy and world role domains. Data also indicate that scores
on the democracy and culture domains were statistically significantly higher than scores on the
technology and world role domains. This study provides implications for middle grades U.S. History
achievement and the specific needs of Black girls. ",,,,,,,Middle Grades Review
,JSTOR,"Schudde, L. (2018). Heterogeneous Effects in Education: The Promise and Challenge of Incorporating Intersectionality Into Quantitative Methodological Approaches. Review of Research in Education, 42, 72–92. http://www.jstor.org/stable/44668714",2018,Empirical Study,Other,"To date, the theory of intersectionality has largely guided qualitative efforts in social science
and education research. Translating the construct to new methodological approaches
is inherently complex and challenging, but offers the possibility of breaking down silos
that keep education researchers with similar interests—but different methodological
approaches—from sharing knowledge. Quantitative approaches that emphasize the varied
impacts of individual identities on educational outcomes move beyond singular dimensions
capturing individual characteristics, drawing a parallel to intersectionality. Scholars
interested in heterogeneous effects recognize the shortcomings of focusing on the effect of
a single social identity. This integrative review explores techniques used in quantitative
research to examine heterogeneous effects across individual background, drawing on
methodological literature from the social sciences and education. I examine the goals and
challenges of the quantitative techniques and explore how they relate to intersectionality. I
conclude by discussing what education researchers can learn from other applied fields that
are working to develop a crosswalk across the two disparate, but interconnected, literatures",,,,,,,Review of Research in Education
Patricia,Education Source,"Collins, J. (2019). A Comparative Group Factor Analysis of the SIAS: Implications for Measuring Social Justice Leadership Capacity. Journal of Leadership Education, 18(3).",2019,Empirical Study,Critical Quant,"A handful of models and measures currently exist for the purpose of assessing student capacity for leading
social change. Ample research suggests that students of different racial and gender identity groups exhibit
various understandings, motivations, and behaviors related to social engagement and transformation, yet few
studies take into consideration the potential for diverse students to interpret social-change-related survey scale
items differently. Using a critical quantitative approach, this study compares factor loading patterns of the Social
Issues Advocacy Scale (SIAS; Nilsson, et al., 2011) across eight race/gender subgroups to test the extent to which
the factor structure remains invariant. Findings suggest that intersections of race and gender do influence how
scale items cluster together. This study lends support for critical quantitative research designs that examine
social phenomena using a specific-group approach, and calls for scholars to consider the cultural validity of
scales used to measure capacity for social justice leadership.",Short paragraph on critical quant inquiry,Compares the factor loading patterns of the Social Issues Advocacy Scale across eight race/gender subgroups; main point argues that it is important to conduct separate statistical analysis when theory and research suggest there to be group differences,No positionality statement,Does not mention policy recs aside from conducting separate analyses per group,,1,Journal of Leadership Education
Patricia,Education Source,"Crawford, C. E. (2019). The one-in-ten: Quantitative Critical Race Theory and the education of the ‘new (white) oppressed’. Journal of Education Policy, 34(3), 423-444.",2019,Empirical Study,QuantCrit,"This paper challenges the notion that quantitative data – as a numeric truth – exist independent of a nation’s political and racial landscape. Utilising large-scale national attainment data, the analysis challenges the belief that ‘White working class’ children in England, especially boys, are ‘the new oppressed’ – as a former equality adviser has publicly claimed. The analysis applies Quantitative Critical Race Theory, or ‘QuantCrit’, an emerging
quantitative sub-field of Critical Race Theory in education. The paper argues that far from being ‘oppressed’, White boys continue to enjoy achievement advantages over numerous minoritised groups; especially their peers of Black Caribbean ethnic origin. Additionally, the analysis uniquely exposes racialised trends of ‘equivalency’ in core subject qualifications, whereby minority ethnic children are over-represented in certain lower-status qualifications that are counted as equivalent in education statistics but not in the real world labour market. The analysis concludes that knowing misrepresentations of quantitative data are at the heart of an institutional process through which race and racism are produced, legitimised and perpetuated in education.",Very much embedded throughout the paper; author discusses how a CRT framework guides their analysis and conceptual/theoretical framework,"Contexualizes numbers/percentages using government data and media/journalist discourse around labels (e.g., erroneously using Free school meals (FSM) as a proxy for ""working class"")",Does not include a positionality statement,Discusses the larger implications of the misuse of data in perpetuating racism and the cries for reverse racism from White working class people,,,Journal of Education Policy
Patricia,Education Source,"Tabron, L. A., & Ramlackhan, K. (2019). Hypocrisy, state policy, and African American students with disabilities: The guise of access. Educational Policy, 33(1), 181-204.",2019,Empirical Study,Critical Quant,"We critically examined the odds of earning a college preparatory diplomafor African American high school seniors receiving special education servicesunder Texas’s Top 10% Policy (TTPP). Critical policy analysis was used toexplore the meritocratic guise of college access for African American youthwith disabilities, and through DisCrit, theorized TTPP’s broader effecton the social stratification and creation of policy “winners” and “losers.”Results from multilevel logistic regression models indicate African Americanstudents are nearly twice as likely to be identified with disabilities as theirpeers and are the least likely to earn a college preparatory diploma in Texas.","- Uses Critical Policy Analysi (CPA), with DisCrit, and Critical Quantitative Inquiry in their research design
- goal in using CritQuant is to reveal systemic inequities in Texas's Top 10% Policy for African American students w/ Disabilities and/or in special education",#NAME?,#NAME?,#NAME?,,,Educational Policy
Krystle,Web of Science,"Abrica, E. J., & Hatch-Tocaimaza, D. K. (2019). Exploring students' agentic and multidimensional perceptions of oppressive campus environments: The development of a transformational impetus. The Review of Higher Education, 43(1), 483-517.",2019,Empirical Study,Critical Quant,": The campus climate literature obscures the complexity of individuals’ perspectives in relation to multiple dimensions of the broader learning environment. Unexamined are the ways students from marginalized backgrounds may respond to oppressive dimensions of the campus climates in unique ways that moderate observed outcome differences. To fill this gap, we leverage survey data to reveal multiple latent facets of the campus climate
perceptions and explore how they potentially relate to students’ development
of a transformational impetus, proposed as an agentic measure of students’
responses to perceived oppression in the form of a desire to change the world
in the interest of social justice.","Conducted separate analyses with completely disaggregated data rather than using race/ethnicity as a dummy variable. Addresses problem of estimates that are usualy determined according to responses from those who ""suffer adn those who recreate oppressive envionments"". Also created group means for flimate perceptions for each disaggregaed data set","DLE, used regression analysis with individual perceptions of campus climate and added level 2 institutional variables (mean for campus climate perceptions). Broke down analysis by URM, White samples, then URM male and URM female samples","No positionality statement,","Does aim to model and recommend additional research on ways to model oppression and intersecting forms of oppression rather than simply comparing students of color to white students, also offer interpretation of what ""democratic outcomes means for white students vs. students of color (survival)",n/a,1,The Review of Higher Education
,PubMed,"Markham, A. N., & Pereira, G. (2019). Experimenting With Algorithms and Memory-Making: Lived Experience and Future-Oriented Ethics in Critical Data Science. Frontiers in big data, 2, 35. https://doi.org/10.3389/fdata.2019.00035",2019,Empirical Study,Other,"In this paper, we focus on one specific participatory installation developed for an exhibition in Aarhus (Denmark) by the Museum of Random Memory, a series of arts-based, public-facing workshops and interventions. The multichannel video installation experimented with how one memory (Trine's) can be represented in three very different ways, through algorithmic processes. We describe how this experiment troubles the everyday (mistaken) assumptions that digital archiving naturally includes the necessary codecs for future decoding of digital artifacts. We discuss what's at stake in critical (theory) discussions of data practices. Through this case, we offer an argument that from an ethical as well as epistemological perspective critical data studies can't be separated from an understanding of data as lived experience.",CRITICAL DATA SCIENCE,Case study: installation for the Museum of Random Memory. Focused on how alorithnic processes can have consequences --how from an ethical and epistemological perspective that critical data studies can't be separated from an understanding of data as lived experience,,,also in web of science,,Frontiers in Big Data
Patricia,Education Source,"Campbell-Montalvo, R. A. (2020). Being QuantCritical of US K-12 demographic data: using and reporting race/ethnicity in Florida Heartland Schools. Race Ethnicity and Education, 23(2), 180-199.",2020,Scholarly and/or Theoretical,QuantCrit,"In this study on K-12 schools in the U.S. Florida Heartland, I take a
QuantCrit approach to uncover how processes of data transformation,
which I call ‘racial re-formation’, shape the utilization and reporting of
racial and ethnic representations of students. To understand actual
data use at schools, I apply QuantCrit’s principles on hownumbers are
not neutral and how categories/groups are neither ‘natural’ nor given. I
introduce ‘racial re-formation’ to identify the mechanisms behind
expression of the QuantCrit principles in the data. Analyses of observations
demonstrate that definitions of race/ethnicity are malleable, as
personnel changed reported definitions of students as they used data
in school decisions. Contrast of school records with teacher-created
grade-level cards shows mismatch in student race/ethnicity between
multiple school measures, while comparison of state vs. school records
illustrates how policy affects demographic portraits. These practices
led to varying representations, especially for American Indians and
other groups, though ways to improve data collection, utilization,
and reporting are offered.",Discusses the 5 tenets of QuantCrit and focuses on the second and third one in the study,Moreso on the reporting of race/ethnicity side; being critical of how reporting of race/ethnicity can be distorted by school personnel or the state.,No positionality statement although briefly mentions their identities in data collection section,Mentions policy initiatives like trainings to promote consistent use of race/ethnicity,,,Race Ethnicity and Education
Patricia,Education Source,"Duran, A., Dahl, L. S., Stipeck, C., & Mayhew, M. J. (2020). A critical quantitative analysis of students' sense of belonging: Perspectives on race, generation status, and collegiate environments. Journal of College Student Development, 61(2), 133-153.",2020,Empirical Study,Critical Quant,"Guided by Astin’s I-E-O model and criticalquantitative inquiry, we examined institutionalenvironments that contributed to belongingness,especially for students from different racial groups,college generation statuses, and the intersection ofboth. Using multiple linear regression analyses,we analyzed data from 7,888 students and foundthat belonging was associated with participationin numerous collegiate environments. Moreover,significant results emerged for certain races,generation statuses, and groups at the intersectionof both. Models were then run to discern theconditional effects of collegiate environmentswhen considering the interactions between raceand generation status. Findings revealed severalconditional effects for groups at the intersectionsof these identities.",Embeds critical quantitative inquiry throughout; research questions; theoretical frameworks; methodology; analysis; and interpretation,Considers intersectionality in their analysis (race & generation status); uses effect coding instead of having a referent; interpretation considers systems of oppression,All authors discuss their positionality,Includes discussion about future research and limitations of their work,,1,Journal of College Student Development
Patricia,Education Source,"Garibay, J. C., West, C., & Mathis, C. (2020). "" It Affects Me in Ways That I Don't Even Realize"": A Preliminary Study on Black Student Responses to a University's Enslavement History. Journal of College Student Development, 61(6), 697-716.",2020,Empirical Study,QuantCrit,"Research on American universities’ involvement in
slavery has primarily been historical. We drew upon
Critical Race Quantitative Inquiry, or QuantCrit,
to devise a methodology to measure various ways
Black college students respond to their institution’s
history of slavery, and to explore factors that may
relate to these responses. Data were collected from
93 students of African descent at a Southern
US institution historically involved in slavery.
Multiple linear regression models accounted for
35.9% of the variance in students’ emotional
responses, 27.3% in behavioral responses, and
13.6% in psychological responses to the institution’s
enslavement history. Statistical results show the
relevance of background characteristics and
contemporary racialized experiences in predicting
student responses. Based on the findings of this
exploratory study, we recommend that as leaders
of institutions with histories of slavery consider
ways to address their respective histories through
higher education reparations, that they consider
the impact of this violent history on contemporary
Black students. Next steps to expand the study and
further explore the impact of university histories
of slavery are proposed.",#NAME?,#NAME?,All authos include a positionality statement,Discusses policy implications at the end,,1,Journal of College Student Development
Patricia,Education Source,"Knowles, R. T., & Hawkman, A. M. (2020). Anti-racist quantitative research: Developing, validating, and implementing racialized teaching efficacy and racial fragility scales. The Urban Review, 52(2), 238-262.",2020,Methods-forward,QuantCrit,"This research article reports on the initial findings of a critical quantitative study,
which developed and implemented a series of quantitative scales utilizing conceptualizations
of racial fragility and anti-racist teacher self-efficacy scales. The scales
were administered through a survey and yielded a usable sample of 4770 teachers in
Missouri. Specifically, we address the scale development process, theoretical framework,
and validation of the developed scales. The process analyzes the Racial Fragility
Scale and the Racialized Teaching Efficacy Scale across teacher demographics.
Ultimately, this project seeks to better articulate the nuances of non-racist, colorblind
teaching in pursuit of moving the field toward an agentic, anti-racist stance in
classrooms.",#NAME?,#NAME?,#NAME?,#NAME?,,,The Urban Review
Patricia,Education Source,"Ro, H. K., & Bergom, I. (2020). Expanding Our Methodological Toolkit: Effect Coding in Critical Quantitative Studies. New Directions for Student Services, 2020(169), 87-97.",2020,Methods-forward,Critical Quant,"Following Mayhew and Simonoff’s recent work (2015), we describeeffect coding, an alternative to dummy coding, and present anexample of its application for research and assessment in highereducation and student affairs.","- adheres to critical quant by challenging dominant quantitative perspectives of using a reference group typically ""White"" racial category",#NAME?,#NAME?,- calls for quant scholars to consider using effect coding in their work and also addressing the limitations of effect coding; in other words using effect coding when it makes sense for the analysis and/or considering alternatives,,1,New Directions for Institutional Research
Patricia,Education Source,"Van Dusen, B., & Nissen, J. (2020). Equity in college physics student learning: A critical quantitative intersectionality investigation. Journal of Research in Science Teaching, 57(1), 33-57.",2020,Empirical Study,Critical Quant,"We investigated the intersectional nature of race/racism andgender/sexism in broad scale inequities in physics studentlearning using a critical quantitative intersectionality. To providetransparency and create a nuanced picture of learning,we problematized the measurement of equity by using twocompeting operationalizations of equity: Equity of Individualityand Equality of Learning. These two models led to conflictingconclusions. The analyses used hierarchical linearmodels to examine student's conceptual learning as measuredby gains in scores on research-based assessments administeredas pretests and posttests. The data came from the LearningAbout STEM Student Outcomes' (LASSO) nationaldatabase and included data from 13,857 students in 187 firstsemestercollege physics courses. Findings showed differencesin student gains across gender and race. Large genderdifferences existed for White and Hispanic students but notfor Asian, Black, and Pacific Islander students. The modelspredicted larger gains for students in collaborative learningthan in lecture-based courses. The Equity of Individualityoperationalization indicated that collaborative instructionimproved equity because all groups learned more with collaborativelearning. The Equality of Learning operationalizationindicated that collaborative instruction did not improve equitybecause differences between groups were unaffected. We discussthe implications of these mixed findings and identify",#NAME?,#NAME?,#NAME?,#NAME?,"- critique, provide better rationale for variable creation (e.g., combiining race/ethnicity groups)",1,Journal of Research in Science Teaching
Krystle,Web of Science,"Campbell, S. L. (2020). Ratings in black and white: a quantcrit examination of race and gender in teacher evaluation reform. Race Ethnicity and Education, 1-19.",2020,Empirical Study,QuantCrit,"Education policy reform is often created and implemented in ways that advantage White individuals. This is even more salient when examining the intersection of race and gender identities. Using North Carolina’s teacher evaluation system as a policy reform case, I examine whether there are differential observation ratings between Black and White women. The findings show that when Black and White women were similarly effective in the classroom,
administrators rated Black women lower. However, there was no statistically significant influence on ratings by having a principal of the same race and gender as teachers. Black women were roughly two times more likely to be placed on a punitive professional development plan than White women. This study contributes to the narrow discourse on the effects of policies on Black women and
provides policymakers with recommendations to ensure that teacherevaluation systems are justly implemented.",QuantCrit explanation takes up a large part of theoretical framework,"North Carolina Department of Public Instruction
(NCDPI) administrative data on students, teachers, classrooms, school characteristics,
and teacher observation rating data. 3 level HLM (teachers neste din  schools, nested within districts",,"critique of teacher evaluation systems and using quant data to show systematic differences, also shares practical ramifications for differences to show the consequences. ""By focusing on a single sociodemographic characteristic or the intersecting characteristics without a critical lens, researchers overlook the deeper issues of bias related to the TES. This study provides additional nuance to the conversation around equitable practices under the widespread teacher evaluation system by exploring how the reform could impact Black women teachers by systematically identifying them as poor-performing teachers."" (p. 5)",Focus is on intersectionality (black women and white women),,Race Ethnicity and Education
Krystle,Web of Science,"Jang, S. T. (2020). The schooling experiences and aspirations of students belonging to intersecting marginalisations based on race or ethnicity, sexuality, and socioeconomic status. Race Ethnicity and Education, 1-22.",2020,Methods-forward,Critical Quant,"This study examined how social constructs of race or ethnicity,
sexuality, and socioeconomic status (SES) are multiplicatively associated
with high school students’ schooling experiences and aspirations.
Using a critical quantitative intersectionality framework to
analyse data from the 2016 Minnesota Student Survey, this study
found that the estimated perceptions of care from adults among
American Indian/Alaska Native students who are both LGBTQ and
free or reduced lunch (FRL)-eligible were the lowest across different
groups, and that these students were also the most likely to experience
exclusion by their peers. Among Asian/Pacific Islander students,
sexuality was found to be a moderating factor in the
influence of higher SES on plans to pursue post-secondary education.
Implications for policy, leadership, and practice are discussed.",High school sample d,"HS Sample. Critical Quant Intersectionality (CQI) framework by Jang. Race/ethnicity, sexuality, and SES. How are these things associated with schooling experiences and educational aspirations? 2016 Minnesota Student Survey. 77,346 students in sample. DVs: the students’ perceptions about care from
adults in their schools; (2) their experiences of exclusion from friends, other students, or
activities; and (3) their aspirations to pursue postsecondary education. multiple and logistic regression",No positionality statement,"Brought up homophobia but didn't frame study as addressing classism, heterosexism, racism, etc. and confuses QuantCrit with CriticalQuant. Is that something that we want to do as a field? ",CQI framework. Heterogenous associations tables are great model for this work. However this study could have said more to justify WHY LGBTQ and income in addition to race than simply that they are less studied in QuantCrit. And explaining how income matters more in the lit,,Race Ethnicity and Education
Krystle,Web of Science,"Nissen, J. M., & Van Dusen, B. (2020, January). Educational debts incurred by racism and sexism in studentsâ€™ beliefs about physics. In Physics Education Research Conference 2019.",2020,Methods-forward,Critical Quant,"The American Physical Society calls on its members to improve the diversity of physics by supporting an inclusive culture that encourages women and people of color to become physicists. Becoming a physicist demands a set of beliefs about what it means to learn and do physics. Rather
than physics courses and degree programs supporting students in developing these beliefs, evidence
shows that physics education filters out students without sufficient beliefs. To better understand
the role of beliefs in the lack of diversity in physics, we investigated the intersectional nature of
race/racism and gender/sexism in inequities in student beliefs towards learning and doing physics
using a critical quantitative intersectionality framework. The analyses used hierarchical linear models to examine students’ beliefs as measured by the Colorado learning attitudes about science survey.
The data came from the LASSO database and included 1248 students in 29 calculus-based mechanics courses. Like prior studies, we found that beliefs either did not change or slightly decreased for
most groups. Results identified large differences across intersecting race and gender groups. White
students, particularly White men, tended to have more expert-like beliefs than any other group of
students. Physics instruction must address these educational debts to move toward an inclusive
culture supportive of diverse students and professionals.",Said they used critical quant but they kept calling it QuantCrit. They mostly use QuantCrit and cite CRT in methods so they are mixing the two. They do address each tenet of QuantCrit and how their study applies. ,"HLM Colorado Learning Attitudes aout Science Survey. 2170 students in 46 calculus mechnics courses and 2503 students in 49 algebra courses at 18 institutions. We do not present p values. p values depend on sample
size and lead to selective reporting and selective attention
[80] that can ignore injustices borne by the most underrepresented
and marginalized groups of students. Our
analysis, instead, focused on the point estimates and
standard errors produced by the models""",Added positionality statements. ,"educational debts
on students’ opportunity to become physicists"" --wording matters",Ok wait they keep using BIPOC students as a term but don't talk about the Black students' findings? They just simply say that they are less versed in the literature on race. ,1,Physics Education Research Conference
Krystle,Web of Science,"Poorthuis, A., & Zook, M. (2020). Being smarter about space: Drawing lessons from spatial science. Annals of the American Association of Geographers, 110(2), 349-359.",2020,Scholarly and/or Theoretical,Other,"Smart technology—in its many facets—is often critiqued within geography in ways that parallel the critiques of quantitative geography in the 1960s and GIScience in the 1990s. In this way, both the development of “smart” technology itself and its criticisms are the latest chapter in a long-standing disciplinary debate around quantification and technology. We reevaluate this history and argue that quantitative methodology and its theoretical critiques are not as incompatible as often claimed. To illustrate how we might address this apparent tension between theory and quantitative methods, we review how both approaches conceptualize one of geography’s core concepts—space—and highlight opportunities for symbiosis. Although smart technologies can further orthodox positivist approaches, we argue that the actual practice is more nuanced and not necessarily absolute or totalizing. For example, recent computational work builds on critical geographic theories to analyze and visualize topological and relational spaces, relevant to topics such as gentrification and segregation. The result is not a geography in which smart technology and algorithms remove the need for human input but rather a rejoinder in line with the recent resurgence of a critical quantitative geography. In short, the result is a geography where social theory and the human intellect play a key role in guiding computational approaches to analyze the largest, most versatile, most and relevant data sets on social space that we have ever had.","Critical Quant Geography. ""we review how both approaches conceptualize one of
geography’s core concepts—space—and highlight opportunities for symbiosis""",n/a,Reflexive on the field of geography,"Not aiming to be ""critical"" in critiquing structures of power but simply aiming to include sociological perspectives to create a symbiosis between quant geography and being more attentive to context and relations (newer conceptions of space)","We can build a different, new
vision on the use of technology in geography, paying
particular attention to avoid some of the disciplinary
mistakes of the last thirty years. Indeed, from our
own research collaborations across fields of computer
science and engineering, we note that quantitative
geographers can often be more grounded in and
appreciative of social and spatial theories than those
coming from outside of geography.",,Annals of the American Association of Geographers
Krystle,Web of Science,"Van Dusen, B., & Nissen, J. (2020). Associations between learning assistants, passing introductory physics, and equity: A quantitative critical race theory investigation. Physical Review Physics Education Research, 16(1), 010117.",2020,Empirical Study,QuantCrit,"Many science, technology, engineering, and math degrees require passing an introductory physics
course. Physics courses often have high failure rates that disproportionately harm students who are
historically and continually marginalized by racism, sexism, and classism. We examined the associations
between learning assistant (LA) supported courses and equity in nonpassing grades [i.e., drop, fail, or
withdrawal (DFW)] in introductory physics courses. The data used in the study came from 2312 students in
41 sections of introductory physics courses at a regional Hispanic serving institution. We developed
hierarchical generalized linear models of student DFW rates that accounted for gender, race, firstgeneration
status, and LA-supported instruction. We used a quantitative critical race theory (QuantCrit)
perspective focused on the role of hegemonic power structures in perpetuating inequitable student
outcomes. Our QuantCrit perspective informed our research questions, methods, and interpretations of
findings. The models associated LAs with overall decreases in DFW rates and larger decreases in DFW
rates for Black, Indigenous, and people of color than their White peers. While the inequities in DFW rates
were lower in LA-supported courses, they were still present.",Yes,"Found a strong association between LAs and lowered DFW rates. Also looked at to what extent it's ""mitigating"" vs. perpetuating vs. exsacerbating impacts of racism, sexism, classism. Data came from 9 instructors who taught 41 sections of 1st semester intro physics course to sample of 2,312 students. ",,"Doesn't offer suggestions for how to transform, leaves it at critique and cautions of LA programs increasing systemic inequity if schools with more resources implement them","Three articles now from these individuals-- two who are white, cisgendered, heterosexual, men. Employed ""Radical Copy"" to perform an equity audit of the publication https://www.mmg.earth/the-power-of-data",1,Physical Review Physics Education Research
,JSTOR,"Kearney, C. E. (2020). From the Editorial Board: Using Quantitative Methods to Answer Critical Questions. The High School Journal, 103(4), 195–200. https://www.jstor.org/stable/26986629",2020,Scholarly and/or Theoretical,Critical Quant,no abstract,,,,,,,The High School Journal
,JSTOR,"Garibay, J. C. (2020). Can Holland’s Person-Environment Fit Theory Produce Troubling Outcomes for Racial/Ethnic Underrepresented Students in STEM? An Analysis of Social Agency. Journal Committed to Social Change on Race and Ethnicity (JCSCORE), 6(2), 137–176. https://www.jstor.org/stable/48644539",2020,Empirical Study,Critical Quant,"Increasing the success of Underrepresented Students of Color (USC) in science, technology, engineering, and mathematics (STEM) is a central concern to many researchers, policymakers, and educators. To help understand STEM college student success, many studies have utilized Holland’s (1966, 1973, 1985, 1997) person-environment fit framework applying it uncritically to all students. Using Quantitative Criticalism, this study engages the racial realities of USC while investigating several assumptions of Holland’s theory and their implications for USC pursuing STEM fields. Utilizing a national, longitudinal dataset of 5,564 STEM bachelor’s degree recipients drawn from the Cooperative Institutional Research Program’s 2004 Freshman Survey and 2011 Post-Baccalaureate Survey, this study specifically examines students’ interest in making a positive impact on society through socio-political action, or social agency, which Holland’s typology suggests is incongruent with STEM environments. Findings show that USC may
be more likely to be described as “incongruent” with Holland’s classification of STEM environments, that the congruence assumption may not be fully applicable for understanding the long-term success of USC in STEM, and that the social
agency of USC did not significantly change over the seven years while white students’ significantly decreased. Implications for broadening participation and promoting equity in STEM fields are discussed.","Does work to dismantle Holland's P-E theory but also used ""Underrepresented Students of Color"" and erased Asian students completely from the sample",t-tests and regression (HLM) on HERI data,no positionality but also it is crit quant so does adhere to other aspects of critquant,Reframes STEM convo to be about whether person-environment fit may lead to inequitable outcomes of underrepresented students in STEM-- and reframing to focus on making soical justice central in STEM,,1,Journal Committed to Social Change on Race and Ethnicity (JCSCORE)
Patricia,Education Source,"Bragg, L. A., & Eyers, A. (2021). Scarcity and waste: Harnessing the power of mathematics and children's literature to understand social justice issues. Australian Primary Mathematics Classroom, 26(2), 17-22.",2021,Scholarly and/or Theoretical,Other,"Leicha Bragg and Andrew Eyers have continued to explore the role of social justice in theprimary mathematics classroom in their article with Scarcity and waste: Harnessing thepower of mathematics and children’s literature to understand social justice issues. Theauthors show how critical quantitative statistical literacy can be supported and developedwhilst integrating issues of ethical, societal and sustainability-based understandings.",#NAME?,- argues for a social justice lens when looking at mathematics in children's literature; uses data and numbers to illustrate their arguments,Does not include a positionality statement,"- applied theory/concepts to practice in how to apply critical quantitative statistical literacy to understand social issues;
- very applied ",Not sure this meets criteria for either QuantCrit or Critical quant,,Australian Primary Mathematics Classroom
Patricia,Education Source,"Cormier, C. J., Houston, D. A., & Scott, L. A. (2021). When salt ain’t enough: A critical quantitative analysis of special education and education degree production. Teachers College Record, 123(10), 3-30.",2021,Empirical Study,QuantCrit,"Background/Context: An ever-growing list of scholars in the United States have highlighted the importance of racially/ethnically diverse teachers. There is evidence suggesting that White teachers, who represent most teachers in the United States, may act to the detriment of the academic and socioemotional outcomes of minoritized students. What has been given limited attention is the degree production within special education (SPED) and education (ED) baccalaureate programs. Purpose/Objective/Research Question/Focus of Study: Using data from the Integrated Postsecondary Education Data System (IPEDS), we examined degree production in SPED and ED degree programs by race. We began by analyzing trend data of SPED and ED degrees produced, specifically by race, to provide a foundation for further inquiry as to why the trends exist. Using a random-effects panel regression, we then conducted an exploratory analysis of relations between degrees produced in SPED and ED by race and institutional factors (e.g., cost of attendance and institutional racial demographics) and characteristics (e.g., Carnegie classification and HBCU [historically Black college and university] status), building on the analyses of trend data and providing some more direction for future research. Broadly, we ask: What is the recent history of SPED and ED degree production, and what institutional characteristics relate to
degree production? An examination of this question provides a foundation for further inquiry that could lead to understanding issues in the recruitment of racially/ethnically
diverse special education teachers and general education teachers into the profession. Specifically, we addressed the following research questions: (1) What are the overall""",Introduces QuantCrit tenets and briefly mentions critical quant. Uses QuantCrit to guide design of study and discussion of results,Racially disaggregated data; examine within-racialized group heterogeneity rather than comparing degree attainment outcomes with White students,Include a brief positionality statement,Call for more efforts by institutions to work towards diversifying the teacher workforce,,1,Teachers College Record
